employee_no,designation,grade,department/project,salary_details,basic,housing_allowance,transportation_allowance,FOT,food_allowance,living_allowance,ticket_allowance,others,arrears
8,QMR,6,ISO,0,0,0,0,0,0,0,0,0,0
40,Sr. Procurement Officer,5A,Procurement,0,0,0,0,0,0,0,0,0,0
53,General Manager,9A,GM Office,0,0,0,0,0,0,0,0,0,0
101,Pipe Fitter,3,Grove,1680,1008,0,0,0,0,0,0,672,0
102,Labor,1,West Yas,1152,692,0,0,0,0,0,0,460,0
103,JCB Operator,4B,Grove,0,0,0,0,0,0,0,0,0,0
106,HE Operator,4B,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
110,Machine Operator,3,Grove,1431,859,0,0,0,0,0,0,572,0
111,Leadman,3,Royal Atlantis - P277,2216,1800,0,0,234,250,166,0,0,0
122,Leadman,3,Grove,1244,747,0,0,0,0,0,0,497,0
123,Driver - Heavy,3,branch Office - Al-Ain,2216,1800,0,0,234,250,166,0,0,0
132,Foreman,4A,Fairmont Hotel - P245,0,0,0,0,0,0,0,0,0,0
137,Irrigation Foreman,4A,Grove,0,0,0,0,0,0,0,0,0,0
139,Foreman,4A,New Al-Ain Hospital - P273,0,0,0,0,0,0,0,0,0,0
144,Foreman,4A,West Yas,0,0,0,0,0,0,0,0,0,0
180,Buyer,5B,Procurement,0,0,0,0,0,0,0,0,0,0
197,Tiler,3,Masdar City - P268,1365,819,0,0,0,0,0,0,546,0
200,Mason,3,New Al-Ain Hospital - P273,1589,804,0,0,0,250,0,0,535,0
212,Plumber,3,Fairmont Hotel - P245,1700,1700,0,0,0,0,0,0,0,0
214,Irrigation Foreman,4A,Royal Atlantis - P277,0,0,0,0,0,0,0,0,0,0
227,Landscape Foreman,4A,Grove,0,0,0,0,0,0,0,0,0,0
235,Surveyor Assistant,3,West Yas,1750,1050,0,0,0,0,0,0,700,0
256,Gardener,2,Grove,1048,629,0,0,0,0,0,0,419,0
414,General Site Supervisor,5B,Landscape Works On The Go Service Stations - P289,0,0,0,0,0,0,0,0,0,0
442,Secretary,4A,contracts,0,0,0,0,0,0,0,0,0,0
486,Chief Accountant,6,Legal,0,0,0,0,0,0,0,0,0,0
491,Payroll Officer,5B,Human Resources,0,0,0,0,0,0,0,0,0,0
498,Foreman,4A,Landscape Works On The Go Service Stations - P289,0,0,0,0,0,0,0,0,0,0
508,Secretary,4A,Logistics,0,0,0,0,0,0,0,0,0,0
516,Landscape Supervisor,5B,Grove,0,0,0,0,0,0,0,0,0,0
525,Labor,1,Emirates Globe Aluminum - P286,758,708,0,0,92,0,50,0,0,0
528,Leadman,3,West Yas,1331,1300,0,0,169,0,31,0,0,0
530,Machine Operator,3,Grove,1242,1242,0,0,162,0,0,0,0,0
531,Machine Operator,3,Grove,1331,1300,0,0,169,0,31,0,0,0
532,Machine Operator,3,Grove,1331,1300,0,0,169,0,31,0,0,0
535,Labor,1,West Yas,837,787,0,0,101,0,50,0,0,0
538,Leadman,3,Grove,1331,1300,0,0,169,0,31,0,0,0
549,Labor,1,Grove,1298,900,0,0,117,250,148,0,0,0
570,Sr. Surveyor,5B,West Yas,0,0,0,0,0,0,0,0,0,0
583,Executive Secretary,5B,GM Office,0,0,0,0,0,0,0,0,0,0
589,Deputy QMR,5B,ISO,0,0,0,0,0,0,0,0,0,0
629,Pipe Fitter,3,Emirates Globe Aluminum - P286,1443,866,0,0,0,0,0,0,577,0
633,Leadman,3,Grove,1244,747,0,0,0,0,0,0,497,0
634,Leadman,3,Grove,1244,747,0,0,0,0,0,0,497,0
645,Foreman,4A,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
646,Labor,1,Al Mamsha Saadiyat - P274,992,596,0,0,0,0,0,0,396,0
651,Gardener,2,Grove,1470,732,0,0,0,250,0,0,488,0
666,Mason,3,Grove,1725,1035,0,0,0,0,0,0,690,0
773,Sr. Planning Engineer,6,Planning,0,0,0,0,0,0,0,0,0,0
806,Foreman,4A,Wood Workshop,0,0,0,0,0,0,0,0,0,0
825,Plumber,3,Grove,1244,1200,0,0,156,0,44,0,0,0
867,Sr. Procurement Officer,5A,Procurement,0,0,0,0,0,0,0,0,0,0
869,HE Operator,4B,Masdar City - P268,0,0,0,0,0,0,0,0,0,0
906,Plumber,3,West Yas,785,637,0,0,83,0,148,0,0,0
