employee_no,designation,grade,department/project,salary_details,basic,housing_allowance,transportation_allowance,FOT,food_allowance,living_allowance,ticket_allowance,others,arrears
101,Pipe Fitter,3,Grove,1900,1680,0,0,220,0,0,2000,0,0
102,Labor,1,Operations,1152,692,0,0,0,0,0,2000,460,0
105,Labor,1,Grove,1257,760,0,0,99,250,148,2000,0,0
110,Machine Operator,3,Grove,1600,1300,0,0,169,0,131,2000,0,0
111,Leadman,3,Operations,2450,1800,0,0,234,250,166,2000,0,0
122,Leadman,3,Grove,2218.75,1200,0,0,156,0,44,2300,0,0
123,Driver - Heavy,3,Operations,2200,1800,0,0,234,0,166,2000,0,0
197,Tiler,3,Operations,1676.390625,819,0,0,0,0,0,2000,546,0
200,Mason,3,Operations,1589,804,0,0,0,250,0,2000,535,0
212,Plumber,3,Operations,1700,1700,0,0,0,0,0,2000,0,0
235,Surveyor Assistant,3,Operations,2959.67,1050,0,0,0,0,0,2000,700,0
248,Helper,2,Grove,1100,900,0,0,117,0,83,2300,0,0
256,Gardener,2,Grove,1054.552083,629,0,0,0,0,0,2300,419,0
525,Labor,1,Operations,850,708,0,0,92,0,50,2000,0,0
528,Leadman,3,Operations,1825,1300,0,0,169,0,31,2000,0,0
529,Leadman,3,Camelia Showroom,1750,1300,0,0,169,250,31,2000,0,0
530,Machine Operator,3,Grove,1404,1242,0,0,162,0,0,2000,0,0
531,Machine Operator,3,Grove,1608.333333,1300,0,0,169,0,31,2000,0,0
532,Machine Operator,3,Grove,2366.666667,1300,0,0,169,0,31,2000,0,0
535,Labor,1,Operations,1134.75,787,0,0,101,0,50,2000,0,0
538,Leadman,3,Grove,1513.541667,1300,0,0,169,0,31,2000,0,0
549,Labor,1,Grove,1742.1875,900,0,0,117,250,148,2000,0,0
629,Pipe Fitter,3,Grove,1601,1211,0,0,158,0,232,2000,0,0
633,Leadman,3,Grove,1399.625,747,0,0,0,0,0,2000,497,0
634,Leadman,3,Grove,2218.75,1200,0,0,156,0,44,2000,0,0
646,Labor,1,Operations,1118.65,596,0,0,0,0,0,2000,396,0
651,Gardener,2,Grove,1600,1000,0,0,130,250,220,2000,0,0
666,Mason,3,Grove,4025,1725,0,0,0,0,0,2300,0,0
