employee no,Line Manager,HOD/GM
8,4997,
40,100002,
101,5451,5214
102,5415,
103,5452,
106,5452,
110,5451,5214
111,5452,
122,5451,5214
123,5344,
132,5415,4430
137,5214,5380
139,5452,4430
144,5452,
180,100002,
212,5415,
214,5452,4430
235,5415,4430
256,5451,5214
414,5380,
442,5179,
491,5344,
498,414,5380
508,5342,
525,5451,5214
528,5415,
530,5451,5214
532,414,5380
535,5415,
538,5451,5214
549,414,5380
589,8,
629,2466,
633,5451,5214
634,5451,5214
645,5415,
646,5415,
651,414,5380
651,414,5380
666,5451,5214
806,4167,Email notification to Khairy
825,5451,5214
867,100002,
906,5415,
918,5452,
919,5415,
920,5451,5214
922,5452,
925,2466,
933,2466,
945,5452,
960,2466,
962,5415,4430
974,5415,
1000,5415,
1007,5452,
1012,5415,4430
1023,5452,
1088,5451,5214
1101,2466,
1120,414,5380
1133,4167,Email notification to Khairy
1152,4167,Email notification to Khairy
1166,5342,
1172,5451,5214
1247,2466,
1259,5452,4430
1264,5415,
1265,2466,
1269,2466,
1277,2466,
1282,5452,
1330,5415,
1335,5415,
1348,4167,Email notification to Khairy
1404,5451,5214
1406,5342,
1407,5407,2466
1412,5415,
1415,5143,5342
1419,2466,5380
1420,5415,4430
1428,5415,
1439,5451,5214
1443,5452,
1473,5415,
1475,5451,5214
1478,5415,
1526,5344,
1572,5451,5214
1578,5451,5214
1644,5451,5214
1705,4167,Email notification to Khairy
1725,5415,4430
1791,5385,Email notification to Khairy
1795,5415,4430
1800,1964,
1814,5452,4430
1815,5452,
1816,5452,4430
1819,5452,
1826,5452,
1832,5452,
1834,5452,
1837,5452,
1842,2466,
1844,5452,
1845,5452,
1846,5452,
1850,5452,
1852,414,5380
1854,5452,
1856,5452,
1860,5452,4430
1925,5451,5214
1964,4997,
2017,5385,5342
2118,5415,4430
2141,5415,
2196,5415,
2226,5415,
2277,2466,5380
2280,4167,Email notification to Khairy
2305,8,5342
2307,5415,
2308,5415,4430
2309,5415,
2343,2466,
2345,5415,
2364,414,5380
2422,5452,4430
2424,5415,
2437,5452,4430
2459,5415,4430
2466,5380,
2476,5415,
2487,5452,
2489,5415,
2600,5342,
2648,5143,
2657,5415,4430
2673,414,5380
2674,414,5380
2683,414,5380
2688,4167,Email notification to Khairy
2855,5415,4430
2868,5452,
2870,5452,4430
2872,5452,4430
2998,5452,
3000,5415,
3006,5452,
3012,5415,
3225,414,5380
3226,5415,
3228,5415,
3250,5385,5342
3259,5452,4430
3260,414,5380
3286,414,5380
3334,5342,
3335,5415,
3350,8,4997
3445,5452,4430
3453,5452,4430
3494,5452,4430
3540,414,5380
3542,414,5380
3550,414,5380
3732,5415,
3733,5342,
3734,5342,
3867,5415,4430
3906,5415,
3944,5415,
3947,5451,5214
4039,5385,5342
4108,5451,5214
4167,5342,
4168,5452,4430
4207,2466,
4208,5451,5214
4215,5451,5214
4216,2466,
4217,5415,
4233,5342,
4302,5415,
4304,5415,
4312,5415,
4316,5452,
4340,5452,
4355,5415,
4430,4997,
4455,5344,5342
4462,4167,Email notification to Khairy
4470,5342,
4496,5415,
4506,414,5380
4509,5342,
4521,4167,Email notification to Khairy
4532,5415,4430
4554,5342,
4569,1964,
4612,5415,
4613,5415,
4615,5415,
4632,5342,
4634,5451,5214
4672,5415,
4686,5415,
4689,5415,
4692,5452,
4710,5415,4430
4713,5452,4430
4748,5451,5214
4802,100003,
4882,5452,4430
4890,5415,4430
4918,5344,
4939,5415,
4952,5452,4430
4982,5415,4430
4997,5344,
5053,5380,
5077,4997,
5092,5415,4430
5096,8,
5111,5143,5342
5116,1964,
5117,5415,4430
5143,4997,
5152,4997,
5178,1964,
5179,4997,
5181,1964,
5207,5179,
5214,5380,5380
5226,414,5380
5257,5415,4430
5260,1964,
5263,5415,
5266,5415,4430
5269,5452,4430
5271,5452,4430
5299,5342,
5306,4167,Email notification to Khairy
5309,5143,
5312,5452,4430
5314,5415,4430
5324,5415,4430
5332,5342,
5333,5380,
5335,5452,4430
5336,5415,4430
5337,5415,4430
5339,5415,4430
5340,5452,4430
5342,4997,
5344,4997,
5348,5452,4430
5351,5342,
5357,5415,4430
5358,5415,4430
5360,5077,
5362,5429,
5363,5415,4430
5364,5452,4430
5365,5344,
5367,5415,4430
5368,5415,4430
5370,5077,
5371,5452,4430
5372,5415,4430
5375,5077,
5377,5342,
5379,5452,4430
5380,4997,
5381,5435,
5382,5415,4430
5385,5385,5342
5386,5342,
5391,5415,4430
5391,5415,4430
5392,5415,4430
5393,5452,4430
5394,100002,
5397,5415,4430
5401,5452,4430
5401,5452,4430
5402,5415,4430
5403,5380,5380
5405,5415,4430
5406,5415,
5406,5415,
5407,5380,5380
5408,5143,
5410,414,5380
5411,5344,
5413,5415,4430
5414,5452,4430
5415,4430,4997
5416,8,
5417,4430,
5418,414,5380
5419,5452,4430
5420,5451,5214
5421,5385,5342
5422,5344,
5423,5380,5380
5424,5415,4430
5424,5415,4430
5425,5415,4430
5426,5077,
5428,5143,
5429,4997,
5430,5143,
5431,5452,4430
5432,5415,4430
5433,5415,4430
5434,414,5380
5435,4997,
5436,5452,4430
5437,5452,4430
