employee no,Line Manager,HOD/GM
8,4997,
40,10076,
101,5214,5380
102,5415,4430
103,5354,4430
106,5354,4430
110,5214,5380
111,5354,4430
122,5214,5380
123,5344,
132,5415,4430
137,5214,5380
139,5354,4430
144,5354,4430
180,10076,
212,5415,4430
214,5354,4430
227,5214,5380
235,5415,4430
256,5214,5380
414,5380,
442,5179,4997
486,5344,
491,5344,
498,5380,
508,5342,
525,2466,5380
528,5415,4430
530,5214,5380
531,2466,5380
532,5214,5380
535,5415,4430
538,5214,5380
549,5380,
589,8,
629,2466,5380
633,5214,5380
634,5214,5380
645,1531,4430
646,1531,4430
651,5380,
666,5214,5380
773,4997,
806,4167,5342
825,5214,5380
867,10076,
869,5214,5380
906,5415,4430
918,5354,4430
919,5415,4430
920,5214,5380
922,5354,4430
925,5415,4430
933,2466,5380
945,5354,4430
960,2466,5380
962,1531,4430
974,1531,4430
1000,5415,4430
1007,5354,4430
1012,1531,4430
1023,5354,4430
1088,5214,5380
1101,2466,5380
1120,5380,
1133,4167,5342
1152,4167,5342
1166,5342,
1172,5342,
1217,1531,4430
1247,2466,5380
1259,5354,4430
1264,5415,4430
1265,2466,5380
1269,2466,5380
1277,5354,4430
1282,2466,5380
1330,5415,4430
1335,1531,4430
1348,4167,5342
1404,5214,5380
1406,5342,
1407,5415,4430
1412,5415,4430
1415,5415,4430
1419,2466,5380
1420,5415,4430
1428,1531,4430
1439,5214,5380
1443,5354,4430
1473,5415,4430
1475,2466,5380
1478,1531,4430
1526,5344,
1531,1531,4430
1572,5214,5380
1578,5214,5380
1644,5214,5380
1705,4167,5342
1725,5415,4430
1791,5342,
1795,5415,4430
1800,1964,
1814,5354,4430
1815,5354,4430
1816,5354,4430
1819,5354,4430
1826,5354,4430
1832,5354,4430
1834,5354,4430
1837,5354,4430
1842,2466,5380
1844,5354,4430
1845,5354,4430
1846,5354,4430
1850,5354,4430
1852,5214,5380
1854,5354,4430
1856,5354,4430
1860,5354,4430
1925,5214,5380
1964,4997,
2017,5342,
2032,5415,4430
2118,5415,4430
2140,1531,4430
2141,1531,4430
2196,1531,4430
2226,1531,4430
2277,2466,5380
2280,4167,5342
3350,8,
2307,1531,4430
2308,1531,4430
2309,1531,4430
2343,5342,
2345,1531,4430
2364,5380,
2422,5354,4430
2424,1531,4430
2437,5354,4430
2459,1531,4430
2466,5380,
2476,5214,5380
2487,5354,4430
2489,5415,4430
2542,5415,4430
2600,5342,
2648,5143,
2657,1531,4430
